Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 2246,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 201 West Cherokee Street in Brookhaven, Mississippi, as the ""Deputy Donald William Durr, Corporal Zach Moak, and Patrolman James White Memorial Post Office Building"".",,https://www.congress.gov
H.R. 2196,https://www.congress.gov,116,Public Law,PL,"To amend title 38, United States Code, to reduce the credit hour requirement for the Edith Nourse Rogers STEM Scholarship program of the Department of Veterans Affairs.",,https://www.congress.gov/116/plaws/publ36/PLAW-116publ36.pdf
H.R. 2157,https://www.congress.gov,116,Public Law,PL,"Additional Supplemental Appropriations for Disaster Relief Act, 2019",,https://www.congress.gov/116/plaws/publ20/PLAW-116publ20.pdf
H.R. 2151,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 7722 South Main Street in Pine Plains, New York, as the ""Senior Chief Petty Officer Shannon M. Kent Post Office"".",,https://www.congress.gov/116/plaws/publ85/PLAW-116publ85.pdf
H.R. 2030,https://www.congress.gov,116,Public Law,PL,Colorado River Drought Contingency Plan Authorization Act,,https://www.congress.gov/116/plaws/publ14/PLAW-116publ14.pdf
H.R. 1972,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 1100 West Kent Avenue in Missoula, Montana, as the ""Jeannette Rankin Post Office Building"".",,https://www.congress.gov/116/plaws/publ84/PLAW-116publ84.pdf
H.R. 1957,https://www.congress.gov,116,Public Law,PL,Great American Outdoors Act,,https://www.congress.gov/116/plaws/publ152/PLAW-116publ152.pdf
H.R. 1952,https://www.congress.gov,116,Public Law,PL,Intercountry Adoption Information Act of 2019,,https://www.congress.gov/116/plaws/publ184/PLAW-116publ184.pdf
H.R. 1865,https://www.congress.gov,116,Public Law,PL,"Further Consolidated Appropriations Act, 2020",,https://www.congress.gov/116/plaws/publ94/PLAW-116publ94.pdf
H.R. 1844,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 66 Grove Court in Elgin, Illinois, as the ""Corporal Alex Martinez Memorial Post Office Building"".",,https://www.congress.gov/116/plaws/publ83/PLAW-116publ83.pdf
